通道一计数表：,,
ID,计数时长(s),计数
1,1,28
2,1,27
3,1,22
4,1,20
5,1,16
6,1,12
7,1,21
8,1,26
9,1,14
10,1,20
11,1,17
12,1,18
13,1,15
14,1,22
15,1,24
16,1,26
17,1,27
18,1,24
19,1,18
20,1,19
21,1,18
22,1,26
23,1,28
24,1,17
25,1,14
26,1,26
27,1,16
28,1,22
29,1,12
30,1,24
31,1,21
32,1,28
33,1,25
34,1,20
35,1,19
36,1,11
37,1,25
38,1,11
39,1,19
40,1,24
41,1,15270
42,1,14921
43,1,14984
44,1,14962
45,1,14725
46,1,14905
47,1,14693
48,1,14648
49,1,14514
50,1,14438
51,1,14165
52,1,14100
53,1,13938
54,1,14187
55,1,13887
56,1,13731
57,1,13846
58,1,13906
59,1,13720
60,1,13736
61,1,13543
62,1,13344
63,1,13547
64,1,13066
65,1,13074
66,1,13041
67,1,13154
68,1,12763
69,1,12830
70,1,12921
71,1,12604
72,1,12701
73,1,12742
74,1,12386
75,1,12325
76,1,12268
77,1,12342
78,1,12202
79,1,11992
80,1,12295
81,1,11937
82,1,12000
83,1,11859
84,1,11817
85,1,11621
86,1,11653
87,1,11608
88,1,11622
89,1,11645
90,1,11370
91,1,11440
92,1,11350
93,1,11259
94,1,11085
95,1,11185
96,1,11158
97,1,11109
98,1,10703
99,1,10851
100,1,10856
101,1,10865
102,1,10844
103,1,10856
104,1,10689
105,1,10641
106,1,10500
107,1,10479
108,1,10372
109,1,10440
110,1,10418
111,1,10422
112,1,10348
113,1,10277
114,1,9907
115,1,10030
116,1,10015
117,1,10089
118,1,9890
119,1,9827
120,1,9946
121,1,9730
122,1,10039
123,1,9722
124,1,9712
125,1,9702
126,1,9530
127,1,9576
128,1,9671
129,1,9505
130,1,9452
131,1,9439
132,1,9344
133,1,9411
134,1,9378
135,1,9390
136,1,9056
137,1,8992
138,1,8982
139,1,8836
140,1,9090
141,1,8811
142,1,8985
143,1,8874
144,1,8734
145,1,8922
146,1,8655
147,1,8835
148,1,8781
149,1,8638
150,1,8640
151,1,8563
152,1,8534
153,1,8561
154,1,8421
155,1,8492
156,1,8511
157,1,8497
158,1,8482
159,1,8552
160,1,8374
161,1,8291
162,1,8331
163,1,8108
164,1,8187
165,1,8145
166,1,8082
167,1,8034
168,1,8121
169,1,8117
170,1,7996
171,1,8066
172,1,7929
173,1,7878
174,1,7820
175,1,7909
176,1,7766
177,1,7704
178,1,7860
179,1,7716
180,1,7760
181,1,7717
182,1,7804
183,1,7866
184,1,7609
185,1,7659
186,1,7848
187,1,7600
188,1,7515
189,1,7506
190,1,7691
191,1,7640
192,1,7379
193,1,7462
194,1,7203
195,1,7535
196,1,7348
197,1,7373
198,1,7377
199,1,7346
200,1,7303
201,1,7064
202,1,7320
203,1,7228
204,1,7105
205,1,7226
206,1,7074
207,1,7112
208,1,7087
209,1,7071
210,1,7136
211,1,7169
212,1,7030
213,1,6889
214,1,7028
215,1,7031
216,1,7066
217,1,6966
218,1,6800
219,1,6737
220,1,6961
221,1,6968
222,1,6809
223,1,6873
224,1,6868
225,1,6725
226,1,6731
227,1,6842
228,1,6890
229,1,6614
230,1,6764
231,1,6759
232,1,6774
233,1,6632
234,1,6637
235,1,6616
236,1,6576
237,1,6720
238,1,6449
239,1,6534
240,1,6644
241,1,6474
242,1,6515
243,1,6530
244,1,6438
245,1,6569
246,1,6494
247,1,6416
248,1,6334
249,1,6535
250,1,6467
251,1,6321
252,1,6300
253,1,6383
254,1,6421
255,1,6417
256,1,6361
257,1,6372
258,1,6178
259,1,6350
260,1,6250
261,1,6327
262,1,6384
263,1,6208
264,1,6257
265,1,6227
266,1,6124
267,1,6197
268,1,6081
269,1,6177
270,1,6099
271,1,6192
272,1,6210
273,1,6023
274,1,6197
275,1,6082
276,1,6090
277,1,6178
278,1,6175
279,1,6125
280,1,5996
281,1,6021
282,1,6004
283,1,6065
284,1,21
285,1,22
286,1,15
287,1,16
288,1,21
289,1,23
290,1,16
291,1,16
292,1,23
293,1,18
294,1,26
295,1,15
296,1,31
297,1,14
298,1,16
299,1,21
300,1,23
301,1,16
302,1,18
303,1,21
304,1,20
305,1,20
306,1,10
307,1,17
308,1,25
309,1,11
310,1,19
311,1,23
312,1,18
313,1,14
314,1,21
315,1,22
316,1,16
317,1,20
318,1,14
319,1,23
320,1,18
321,1,32
322,1,22
323,1,19
324,1,16
325,1,22
326,1,22
