通道二计数表：,,
ID,计数时长(s),计数
1,2,46
2,2,45
3,2,52
4,2,44
5,2,39
6,2,45
7,2,38
8,2,61
9,2,44
10,2,41
11,2,40
12,2,43
13,2,42
14,2,36
15,2,38
16,2,45
17,2,46
18,2,49
19,2,26857
20,2,26416
21,2,26279
22,2,25827
23,2,25939
24,2,25051
25,2,25161
26,2,24935
27,2,25004
28,2,24990
29,2,24695
30,2,24360
31,2,24227
32,2,23842
33,2,23888
34,2,23425
35,2,23472
36,2,23184
37,2,23096
38,2,22619
39,2,22570
40,2,22506
41,2,22000
42,2,22162
43,2,21738
44,2,21451
45,2,21567
46,2,21258
47,2,20950
48,2,20732
49,2,20606
50,2,20733
51,2,20582
52,2,20265
53,2,20169
54,2,20213
55,2,19919
56,2,19736
57,2,19652
58,2,19688
59,2,19372
60,2,19462
61,2,19142
62,2,18844
63,2,19144
64,2,18647
65,2,18494
66,2,18557
67,2,18485
68,2,18475
69,2,18334
70,2,18377
71,2,18198
72,2,18027
73,2,17953
74,2,17954
75,2,17758
76,2,17605
77,2,17304
78,2,17326
79,2,17511
80,2,17129
81,2,17236
82,2,17092
83,2,16887
84,2,16930
85,2,17049
86,2,16896
87,2,16644
88,2,16462
89,2,16559
90,2,16568
91,2,16365
92,2,16448
93,2,16470
94,2,16458
95,2,16161
96,2,16258
97,2,16156
98,2,16045
99,2,15847
100,2,15905
101,2,15863
102,2,16032
103,2,15653
104,2,15743
105,2,15474
106,2,15482
107,2,15436
108,2,15414
109,2,15298
110,2,15230
111,2,15293
112,2,15275
113,2,15002
114,2,15136
115,2,15093
116,2,14930
117,2,14863
118,2,15104
119,2,15108
120,2,14961
121,2,14661
122,2,14821
123,2,14836
124,2,14754
125,2,14729
126,2,14738
127,2,14575
128,2,14378
129,2,14504
130,2,14535
131,2,14559
132,2,14354
133,2,14539
134,2,14218
135,2,14436
136,2,14333
137,2,14051
138,2,14181
139,2,14015
140,2,14230
141,2,13957
142,2,14227
143,2,14031
144,2,14120
145,2,14068
146,2,14090
147,2,13873
148,2,13876
149,2,13820
150,2,13924
151,2,13726
152,2,13731
153,2,13933
154,2,13695
155,2,13589
156,2,13951
157,2,13562
158,2,13539
159,2,13742
160,2,13754
161,2,13763
162,2,13525
163,2,13766
164,2,13352
165,2,13449
166,2,13389
167,2,38
168,2,40
169,2,43
170,2,30
171,2,40
172,2,41
173,2,45
174,2,39
175,2,33
176,2,40
177,2,47
178,2,33
179,2,39
180,2,44
181,2,31
182,2,31
183,2,35
184,2,45
185,2,32
186,2,43
187,2,33
188,2,50
189,2,29
190,2,44
191,2,36
192,2,38
193,2,44
194,2,38
195,2,28
196,2,53
197,2,42
